id,organizer_id,title,description,category,city,location_name,activity_date,deadline,max_participants,image_url,status,created_at
5,4,追捕藍色小精靈,跟隨假不妙一起追捕藍色小精靈 ㄎㄎㄎ,戶外運動,台北市,TBC,2026-08-23 20:15:00,2026-08-23 18:15:00,6,,open,2026-07-28 14:16:30.003000
6,4,追捕藍色小精靈,跟隨假不妙一起追捕藍色小精靈 ㄎㄎㄎ,戶外運動,台北市,TBC,2026-08-24 04:15:00,2026-08-24 02:15:00,6,,open,2026-07-28 14:16:41.743000
30,1, 活動名稱,活動說明,歡唱KTV,台北市,西門錢櫃,2026-08-24 07:10:00,2026-08-24 06:08:00,6,,open,2026-07-30 19:10:17.353000
31,1,活動名稱,活動說明,歡唱KTV,台北市,西門錢櫃,2026-08-25 20:00:00,2026-08-25 19:59:00,1,,open,2026-07-31 05:38:51.777000
32,1,Test1,Test1,美食饗宴,Test1,Test1,2028-09-12 18:00:00,2026-09-12 17:30:00,6,,open,2026-07-31 17:24:15.890000
33,4,假不妙唱歌??,唱歌啦,歡唱KTV,台北市,西門錢櫃,2026-09-02 10:12:00,2026-09-01 10:12:00,6,,open,2026-08-01 10:12:26.430000
34,4,揪愛打羽球,一起打羽球,戶外運動,台北市,台大體育館,2026-09-01 10:13:00,2026-08-31 10:13:00,4,,open,2026-08-01 10:14:05.013000
35,8,探索外木山喵喵咖啡廳,探索外木山喵喵咖啡廳，去咖啡廳裡抓貓，親貓,美食饗宴,基隆,外木山喵喵咖啡廳,2026-09-08 16:30:00,2026-09-07 23:31:00,6,,open,2026-08-01 23:32:04.320000
36,5,週末咖啡閒聊 · 文青品飲會,手沖咖啡 + 輕鬆的咖啡深度聊,咖啡閒聊,台北市,咖啡小巷,2026-09-13 19:00:00,2026-09-13 18:00:00,8,,open,2026-08-07 13:00:24.710000
37,6,桌遊兼購派對之夜,阿瓦隆 / 狼人殺 / 卡牌，多套桌遊任選,桌遊派對,台北市,桌遊聚樂坊,2026-09-14 19:00:00,2026-09-14 18:00:00,8,,open,2026-08-07 13:00:24.730000
38,3,晨間登山健行,一起挑戰步道，舒爽有氧,戶外運動,台北市,象山步道入口,2026-09-15 06:30:00,2026-09-14 18:00:00,8,,open,2026-08-07 13:00:24.733000
39,6,品酒美食小酌會,美食搭餐、品酒交流,美食饗宴,台北市,內湖祖母餐廳,2026-09-16 19:00:00,2026-09-16 18:00:00,8,,open,2026-08-07 13:00:24.743000
40,2,週五歡唱 KTV 紓壓趴,一起唱歌高歌放鬆,歡唱KTV,台北市,西門錢櫃,2026-09-14 20:00:00,2026-09-14 19:00:00,8,,open,2026-08-07 13:00:24.747000
45,6,燒烤,燒烤,美食饗宴,台北市,台北市士林區,2026-08-29 20:00:00,2026-08-29 19:59:00,1,,open,2026-08-11 15:45:26.953000
46,24,一起來打電動,weeee,桌遊派對,台北市,中山捷運站,2026-09-17 12:00:00,2026-09-10 12:00:00,6,,open,2026-08-12 11:43:40.470000
47,25,Movie之夜,122,咖啡閒聊,台北市,123,2026-08-31 11:59:00,2026-08-13 11:59:00,6,,open,2026-08-12 11:59:57.890000
48,1,饗泰多,饗泰多,美食饗宴,台北市,test0812,2026-08-22 12:36:00,2026-08-22 12:35:00,3,,open,2026-08-12 12:37:25.023000
54,9,海岸線遊,,戶外運動,新北市/北市/北北基,北車西三門,2026-09-30 13:46:00,2026-09-16 13:46:00,7,,open,2026-08-14 13:48:01.973000
55,1,test,test,歡唱KTV,台北市,錢櫃,2026-08-22 14:16:00,2026-08-21 14:16:00,6,,open,2026-08-14 14:16:39.437000
56,24,ktv,ktv,歡唱KTV,taipei,taipei,2026-09-01 16:00:00,2026-08-25 16:00:00,6,,open,2026-08-18 16:00:15.453000
