id,activity_id,member_id,message,status,created_at
1,30,6,我想報名聚會,approved,2026-07-31 05:20:37.687000
2,31,6,test,cancelled,2026-07-31 05:39:30.583000
3,31,7,,approved,2026-07-31 05:50:44.747000
4,30,7,123,rejected,2026-08-08 00:35:12.923000
5,34,1,,pending,2026-08-01 15:56:59.567000
6,33,1,test,pending,2026-08-01 17:25:34.527000
7,35,1,test,pending,2026-08-02 19:48:50.553000
8,34,9,好喔,pending,2026-08-05 12:59:08.103000
9,33,9,不太會唱喔,pending,2026-08-05 12:59:30.940000
10,35,9,讚讚讚!!!!!,pending,2026-08-05 12:59:56.433000
11,32,9,好吃太好了,approved,2026-08-05 13:00:41.750000
12,36,4,,pending,2026-08-07 15:35:21.570000
13,36,1,123,cancelled,2026-08-07 18:28:00.663000
22,40,1,,pending,2026-08-11 14:25:21.850000
23,45,1,123,pending,2026-08-11 15:46:58.447000
24,30,23,,rejected,2026-08-12 01:13:22.313000
25,6,24,ㄎㄎㄎ,approved,2026-08-12 11:40:47.413000
26,46,4,假不妙打電動,rejected,2026-08-12 11:57:55.883000
27,46,25,123,approved,2026-08-12 11:58:40.013000
28,37,4,超想參加,pending,2026-08-12 12:03:11.153000
29,48,6,123,pending,2026-08-13 13:50:53.427000
30,48,23,123,rejected,2026-08-13 14:02:11.033000
31,32,7,13,pending,2026-08-13 14:11:46.557000
32,48,29,123,approved,2026-08-13 14:46:42.550000
36,48,44,test5,rejected,2026-08-13 18:33:51.043000
37,30,44,test5,approved,2026-08-13 18:42:49.763000
38,48,9,tkS!!,approved,2026-08-13 22:53:44.710000
39,5,9,OKOK,pending,2026-08-13 22:54:08.790000
40,6,9,好喔,approved,2026-08-13 22:54:42.447000
41,30,9,吃吃喝喝,pending,2026-08-13 22:56:53.867000
42,45,9,烤好吃的,pending,2026-08-13 22:57:36.633000
43,5,24,1111,cancelled,2026-08-14 08:59:38.607000
44,48,50,test10,rejected,2026-08-14 13:02:33.043000
45,48,51,demo,rejected,2026-08-14 14:14:30.833000
