id,member_id,activity_id,message,is_read,created_at
1,1,48,787 報名了你的活動「饗泰多」,1,2026-08-13 14:02:11.037000
2,1,32,豬太郎 報名了你的活動「Test1」,1,2026-08-13 14:11:46.560000
3,1,48,penny 報名了你的活動「饗泰多」,1,2026-08-13 14:46:42.557000
4,1,48,penny 報名了你的活動「饗泰多」,1,2026-08-13 14:47:17.173000
13,1,48,test5 報名了你的活動「饗泰多」,1,2026-08-13 18:33:51.047000
14,44,48,Ryan 已拒絕你報名「饗泰多」,1,2026-08-13 18:35:32.243000
15,1,30,test5 報名了你的活動「 活動名稱」,1,2026-08-13 18:42:49.763000
16,44,30,Ryan 已核准你報名「 活動名稱」,1,2026-08-13 18:44:03.890000
17,1,48,kuo may 報名了你的活動「饗泰多」,1,2026-08-13 22:53:44.713000
18,4,5,kuo may 報名了你的活動「追捕藍色小精靈」,0,2026-08-13 22:54:08.793000
19,4,6,kuo may 報名了你的活動「追捕藍色小精靈」,1,2026-08-13 22:54:42.450000
20,1,30,kuo may 報名了你的活動「 活動名稱」,1,2026-08-13 22:56:53.870000
21,6,45,kuo may 報名了你的活動「燒烤」,0,2026-08-13 22:57:36.637000
22,9,48,Ryan 已核准你報名「饗泰多」,1,2026-08-14 07:16:49.130000
23,4,5,111 報名了你的活動「追捕藍色小精靈」,1,2026-08-14 08:59:38.613000
24,24,6,假不妙 已核准你報名「追捕藍色小精靈」,0,2026-08-14 08:59:39.063000
25,9,6,假不妙 已核准你報名「追捕藍色小精靈」,1,2026-08-14 08:59:40.600000
26,1,48,test10 報名了你的活動「饗泰多」,1,2026-08-14 13:02:33.050000
27,50,48,Ryan 已拒絕你報名「饗泰多」,1,2026-08-14 13:03:45.990000
28,1,48,demo 報名了你的活動「饗泰多」,1,2026-08-14 14:14:30.837000
29,51,48,Ryan 已拒絕你報名「饗泰多」,1,2026-08-14 14:15:27.803000
